Orthogroup,group,BGC,Resistance,CAZyme,Lipase,Peptidase,Signaling,Virulence
OG0000000,AllOutgroup,1,1,0,1,1,1,0
OG0000000,Higher,1,1,0,1,1,1,0
OG0000000,Leafcutter,1,1,0,1,1,1,0
OG0000000,Lower,1,1,0,1,1,1,0
OG0000005,AllOutgroup,1,0,0,1,1,1,0
OG0000005,Higher,1,0,0,1,1,1,0
OG0000005,Leafcutter,1,0,0,1,1,1,0
OG0000005,Lower,1,0,0,1,1,1,0
OG0000007,AllOutgroup,1,0,0,1,1,1,0
OG0000007,Higher,1,0,0,1,1,1,0
OG0000007,Leafcutter,1,0,0,1,1,1,0
OG0000007,Lower,1,0,0,1,1,1,0
OG0000008,AllOutgroup,1,1,0,0,0,1,1
OG0000008,Higher,1,1,0,0,0,1,1
OG0000008,Leafcutter,1,1,0,0,0,1,1
OG0000008,Lower,1,1,0,0,0,1,1
OG0000014,AllOutgroup,1,0,0,0,0,1,0
OG0000014,Higher,1,0,0,0,0,1,0
OG0000014,Leafcutter,1,0,0,0,0,1,0
OG0000014,Lower,1,0,0,0,0,1,0
OG0000015,AllOutgroup,1,0,1,0,0,1,1
OG0000015,Higher,1,0,1,0,0,1,1
OG0000015,Leafcutter,1,0,1,0,0,1,1
OG0000015,Lower,1,0,1,0,0,1,1
OG0000018,AllOutgroup,1,0,1,1,0,1,1
OG0000018,Higher,1,0,1,1,0,1,1
OG0000018,Leafcutter,1,0,1,1,0,1,1
OG0000018,Lower,1,0,1,1,0,1,1
OG0000022,AllOutgroup,1,0,0,1,0,1,0
OG0000022,Higher,1,0,0,1,0,1,0
OG0000022,Leafcutter,1,0,0,1,0,1,0
OG0000022,Lower,1,0,0,1,0,1,0
OG0000023,AllOutgroup,1,1,0,0,0,0,1
OG0000023,Higher,1,1,0,0,0,0,1
OG0000023,Leafcutter,1,1,0,0,0,0,1
OG0000023,Lower,1,1,0,0,0,0,1
OG0000024,AllOutgroup,1,1,0,0,0,0,1
OG0000024,Higher,1,1,0,0,0,0,1
OG0000024,Leafcutter,1,1,0,0,0,0,1
OG0000024,Lower,1,1,0,0,0,0,1
OG0000026,AllOutgroup,1,0,0,0,0,0,0
OG0000026,Higher,1,0,0,0,0,0,0
OG0000026,Leafcutter,1,0,0,0,0,0,0
OG0000026,Lower,1,0,0,0,0,0,0
