Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	Coils	SUPERFAMILY	Gene3D	ProSiteProfiles	CDD	SMART	TIGRFAM	PRINTS	ProSitePatterns	PIRSF	SFLD	Hamap
OPB37426.1	mobidb-lite	IPR009730		Reactome: R-HSA-2129379	PF06991	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37463.1	NA	IPR041504	GO:0016627;GO:0055114	NA	PF18158;PF02770;PF00441	NA	SSF47203;SSF56645	G3DSA:1.20.140.10;G3DSA:2.40.110.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44244.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46154.1	NA	IPR017946	GO:0006629;GO:0008081	NA	NA	NA	SSF51695	G3DSA:3.20.20.190	PS50007	cd08621	NA	NA	NA	NA	NA	NA	NA
OPB38980.1	NA	IPR016135		Reactome: R-HSA-983168	PF00179	NA	SSF54495	G3DSA:3.10.110.10	PS50127	cd00195	SM00212	NA	NA	NA	NA	NA	NA
OPB38453.1	mobidb-lite	IPR011553	GO:0015031;GO:0030176	NA	PF03839	NA	NA	NA	NA	NA	NA	TIGR00869	NA	NA	NA	NA	NA
OPB41068.1	mobidb-lite	IPR002110	GO:0005515	NA	PF12796	Coil	SSF48403	G3DSA:1.25.40.20	PS50088;PS50297	NA	SM00248	NA	PR01415	NA	NA	NA	NA
OPB45809.1	NA	IPR036770	GO:0005515	NA	PF00656;PF12796	NA	SSF48403	G3DSA:1.25.40.20;G3DSA:3.40.50.1460	PS50297;PS50088	NA	SM00248	NA	PR01415	NA	NA	NA	NA
OPB46003.1	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	TIGR00879	NA	NA	NA	NA	NA
OPB44598.1	mobidb-lite	IPR027417	GO:0005524	NA	PF00004	NA	SSF52540	G3DSA:3.40.50.300	NA	cd00009	SM00382	NA	NA	NA	NA	NA	NA
OPB38050.1	NA	IPR015069	NA	NA	PF08975	NA	SSF55144	G3DSA:3.90.1140.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45079.1	NA	IPR006140	GO:0051287;GO:0055114;GO:0016616	NA	PF02826;PF00389	NA	SSF55021;SSF52283;SSF51735	G3DSA:3.30.70.260;G3DSA:3.40.50.720	PS51671	cd12176	NA	NA	NA	PS00671;PS00670;PS00065	NA	NA	NA
OPB41409.1	mobidb-lite	IPR023375		KEGG: 00072+4.1.1.4|KEGG: 00640+4.1.1.4|MetaCyc: PWY-5451|MetaCyc: PWY-6588|MetaCyc: PWY-6876|MetaCyc: PWY-7466	NA	NA	SSF160104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37519.1	mobidb-lite	IPR013262	GO:0005741	NA	PF08219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44521.1	NA	IPR020846	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17323	NA	NA	NA	NA	NA	NA	NA
OPB36828.1	NA	IPR036250	GO:0016627;GO:0055114;GO:0050660	NA	PF00441;PF02770;PF02771	NA	SSF47203;SSF56645	G3DSA:2.40.110.10;G3DSA:1.10.540.10;G3DSA:1.20.140.10	NA	cd00567	NA	NA	NA	NA	PIRSF016578	NA	NA
OPB40370.1	mobidb-lite	IPR023214	GO:0000166;GO:0016021;GO:0006812;GO:0016887	Reactome: R-HSA-936837	PF00702;PF00122	Coil	SSF81653;SSF81665;SSF56784;SSF81660	G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.20;G3DSA:2.70.150.10;G3DSA:3.40.1110.10	NA	cd07543	NA	TIGR01494;TIGR01657	PR00119	PS00154	NA	SFLDS00003;SFLDF00027	NA
OPB36516.1	mobidb-lite	IPR006671	GO:0000079;GO:0019901;GO:0051726	NA	PF00134	NA	SSF47954	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	PIRSF016511	NA	NA
OPB46833.1	mobidb-lite	IPR018865		KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF10494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40145.1	mobidb-lite	IPR013087	GO:0003676	NA	PF00096	NA	SSF57667	G3DSA:3.30.160.60	PS50157	NA	SM00355	NA	NA	PS00028	NA	NA	NA
OPB42958.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	cd12087	NA	NA	NA	NA	NA	NA	NA
OPB37137.1	NA	IPR009097	NA	NA	NA	NA	SSF55144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37430.1	mobidb-lite	IPR019734	GO:0005515;GO:0005680;GO:0030071	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	PF13181;PF04049;PF13414	NA	SSF48452	G3DSA:1.25.40.10	PS50005;PS50293	NA	SM00028	NA	NA	NA	NA	NA	NA
OPB37447.1	NA	IPR036527	NA	NA	PF02036	NA	SSF55718	G3DSA:3.30.1050.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41427.1	NA	IPR001680	GO:0005515	NA	PF00400	NA	SSF50978	G3DSA:2.130.10.10	PS50294;PS50082	NA	SM00320	NA	NA	NA	NA	NA	NA
OPB36605.1	NA	IPR029058	GO:0004185;GO:0006508	NA	PF00450	NA	SSF53474	G3DSA:3.40.50.1820;G3DSA:1.10.287.410	NA	NA	NA	NA	PR00724	PS00131	NA	NA	NA
OPB44043.1	NA	IPR002110	GO:0005515	NA	PF12796;PF00023	NA	SSF48403	G3DSA:1.25.40.20	PS50088;PS50297	NA	SM00248	NA	NA	NA	NA	NA	NA
OPB37620.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41601.1	NA	IPR012882	GO:0005739;GO:0016491;GO:0055114	NA	PF07955	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42240.1	NA	IPR017075	GO:0004484;GO:0006370;GO:0031533	MetaCyc: PWY-7375	PF03919;PF01331	NA	SSF50249;SSF56091	G3DSA:3.30.470.30;G3DSA:2.40.50.140	NA	cd07895	NA	NA	NA	NA	PIRSF036959	NA	NA
OPB43976.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44972.1	mobidb-lite	IPR002303	GO:0000166;GO:0004832;GO:0005524;GO:0006438;GO:0004812;GO:0006418;GO:0002161	KEGG: 00970+6.1.1.9	PF08264;PF00133	Coil	SSF52374;SSF47323;SSF50677	G3DSA:3.40.50.620;G3DSA:3.90.740.10;G3DSA:1.10.730.10	NA	cd00817;cd07962	NA	TIGR00422	PR00986	PS00178	NA	NA	MF_02004
OPB47172.1	mobidb-lite	NA	NA	NA	NA	NA	SSF89372	G3DSA:2.120.10.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42074.1	mobidb-lite	IPR015915	GO:0005515	NA	NA	NA	SSF117281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44208.1	mobidb-lite	IPR001683	GO:0035091;GO:0032266	NA	PF00787	NA	SSF64268	G3DSA:3.30.1520.10	PS50195	cd07280	SM00312	NA	NA	NA	NA	NA	NA
OPB37613.1	mobidb-lite	IPR001163	NA	NA	PF01423	NA	SSF50182	G3DSA:2.30.30.100	NA	cd01717	SM00651	NA	NA	NA	NA	NA	NA
OPB42166.1	NA	IPR004108	NA	NA	PF02906	NA	SSF53920	G3DSA:3.40.950.20;G3DSA:3.40.50.1780	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42332.1	mobidb-lite	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46236.1	NA	IPR036322	GO:0005515	NA	PF00400;PF05729	NA	SSF50978;SSF52540;SSF50969	G3DSA:2.130.10.10;G3DSA:3.40.50.300	PS50082;PS50294;PS50837	cd00200	SM00320	NA	PR00320	PS00678	NA	NA	NA
OPB45627.1	mobidb-lite	IPR020846	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17327	NA	NA	NA	NA	NA	NA	NA
OPB42112.1	NA	IPR002347	NA	NA	PF00106	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
OPB42861.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41375.1	NA	IPR006913	GO:0016846	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	PF04828	NA	SSF51316	G3DSA:3.90.1590.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46979.1	NA	IPR036259	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17327	NA	NA	NA	NA	NA	NA	NA
OPB44164.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46727.1	NA	IPR010686	NA	NA	PF06884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45514.1	NA	IPR031352	NA	NA	PF17107;PF17106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38493.1	NA	IPR036249	NA	NA	NA	NA	SSF52833	G3DSA:3.40.30.10	NA	cd02947	NA	NA	NA	NA	NA	NA	NA
OPB38444.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38358.1	mobidb-lite	IPR037278	GO:0005096	NA	PF01412	NA	SSF57863	G3DSA:3.30.40.160	PS50115	cd08831	SM00105	NA	PR00405	NA	NA	NA	NA
OPB39054.1	mobidb-lite	IPR002882	NA	NA	PF01933	NA	SSF142338	NA	NA	cd07187	NA	NA	NA	NA	NA	NA	NA
OPB42049.1	mobidb-lite	IPR006768	NA	NA	PF04677;PF04676	NA	NA	NA	NA	cd07380	NA	NA	NA	NA	NA	NA	NA
OPB47000.1	NA	IPR027410	GO:0005524;GO:0006457;GO:0051082	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-5620922|Reactome: R-HSA-6814122|Reactome: R-HSA-8950505	PF00118	NA	SSF52029;SSF48592;SSF54849	G3DSA:3.30.260.10;G3DSA:3.50.7.10;G3DSA:1.10.560.10	NA	cd03335	NA	TIGR02340	PR00304	PS00995;PS00750	NA	NA	NA
OPB46952.1	mobidb-lite	IPR001164	GO:0005096	NA	PF01412	NA	SSF57863	G3DSA:3.30.40.160	PS50115	cd08839	SM00105	NA	PR00405	NA	NA	NA	NA
OPB37636.1	NA	IPR011614	GO:0004096;GO:0020037;GO:0055114;GO:0006979	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	PF00199	NA	SSF56634	G3DSA:2.40.180.20;G3DSA:1.20.1280.120	PS51402	NA	NA	NA	NA	NA	NA	NA	NA
OPB45111.1	NA	IPR024708	GO:0004096;GO:0020037;GO:0055114;GO:0006979	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	PF00199;PF06628	NA	SSF56634	G3DSA:2.40.180.10	PS51402	cd08157	SM01060	NA	PR00067	PS00438	PIRSF038928	NA	NA
OPB42520.1	NA	IPR002589	NA	NA	PF01661	NA	SSF52949	G3DSA:3.40.220.10	PS51154	cd02908	SM00506	NA	NA	NA	NA	NA	NA
