Gene	interpro	GO	SUPERFAMILY	Pfam	PANTHER	Gene3D	SignalP_GRAM_POSITIVE	CDD	MobiDBLite	SMART	ProSiteProfiles	Phobius	ProSitePatterns	Coils	TMHMM	PATHWAY	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	TIGRFAM	Hamap	ProDom	PIRSF	SFLD
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-2.14-mRNA-1	IPR009100	GO:0016627;GO:0055114;GO:0050660	SSF56645;SSF47203	PF02770;PF00441;PF02771	PTHR42807	G3DSA:1.20.140.10;G3DSA:2.40.110.10;G3DSA:1.10.540.10	SignalP-TM	cd01151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_301663_cov_62.554438-processed-gene-0.14-mRNA-1	IPR036188	NA	SSF51905	PF13450	PTHR43098;PTHR43098:SF2	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_388669_cov_60.231074-processed-gene-2.64-mRNA-1	IPR002048	GO:0005509;GO:0008270	SSF57850;SSF47473	PF00569	PTHR23055:SF60;PTHR23055	G3DSA:1.10.238.10;G3DSA:3.30.60.90	NA	cd02340;cd00051	mobidb-lite	SM00054;SM00291	PS50222;PS50135	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PS01357;PS00018	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-5.1-mRNA-1	IPR033895	GO:0003975;GO:0006487;GO:0006488;GO:0008963;GO:0016021	NA	PF00953	PTHR10571	NA	NA	cd06855	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	TMhelix	KEGG: 00510+2.7.8.15|Reactome: R-HSA-446193|Reactome: R-HSA-4549356	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_221422_cov_64.839789-processed-gene-0.38-mRNA-1	IPR020904	GO:0016491	SSF51735	PF13561	PTHR42760;PTHR42760:SF27	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PS00061	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_868829_cov_62.810630-augustus-gene-4.14-mRNA-1	IPR001223	GO:0005975;GO:0008061	SSF51445;SSF54556	PF00704	PTHR11177:SF228;PTHR11177	G3DSA:3.10.50.10;G3DSA:3.20.20.80	NA	NA	NA	SM00636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_458646_cov_62.714747-augustus-gene-0.9-mRNA-1	IPR000651	GO:0005085;GO:0005622;GO:0007264	SSF48366	PF00618	PTHR23113:SF244;PTHR23113	G3DSA:1.20.870.10	NA	cd06224	mobidb-lite	SM00229	PS50212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_167_length_13189_cov_60.726535-augustus-gene-0.4-mRNA-1	IPR036607		SSF50911	PF13015;PF12999	PTHR12630	G3DSA:2.70.130.10	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	Coil	NA	Reactome: R-HSA-381426|Reactome: R-HSA-532668|Reactome: R-HSA-879415|Reactome: R-HSA-8957275|Reactome: R-HSA-901042	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-6.2-mRNA-1	IPR018234	GO:0003934;GO:0005737;GO:0046654	SSF55620	PF01227	PTHR11109:SF0;PTHR11109	G3DSA:3.30.1130.10;G3DSA:1.10.286.10	NA	cd00642	mobidb-lite	NA	NA	NA	PS00859;PS00860	Coil	NA	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	NA	NA	NA	TIGR00063	MF_00223	NA	NA	NA
augustus_masked-NODE_54_length_184844_cov_65.641565-processed-gene-0.48-mRNA-1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	PF00067	PTHR24305:SF108;PTHR24305	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	PS00086	NA	NA	NA	PR00463	NA	NA	NA	NA	NA	NA	NA
